job_id,job_class,state_id,solvent_id,paired_solvent_id,reaction_ids,purposes,entity_type,species_name,family,formal_charge,multiplicity,split,anchor_type,use_for_training,geometry_source,geometry_key,geometry_hash,smd_parameter_temperature_K,functional,basis,ri_acceleration,scf_grid,smd_mode,smd_vector_source,smd_parameter_status,nprocs,maxcore_mb_per_rank,planning_core_h,workflow_revision,method_id,output_fields,job_status,method_source_id
SP0001,diagnostic_gas_sp,A002_Q0_M2,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,Tetrafluoroborate (BF4−),Lithium; Tetraalkylammonium,0,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A002:S001:q0:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0002,diagnostic_gas_sp,A002_QM1_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,Tetrafluoroborate (BF4−),Lithium; Tetraalkylammonium,-1,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A002:S001:q-1:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0003,diagnostic_gas_sp,A003_Q0_M2,GAS,S005,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,Perchlorate (ClO4−),Acid; Lithium; Silver; Sodium; Tetraalkylammonium,0,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A003:S005:q0:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0004,diagnostic_gas_sp,A003_QM1_M1,GAS,S005,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,Perchlorate (ClO4−),Acid; Lithium; Silver; Sodium; Tetraalkylammonium,-1,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A003:S005:q-1:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0005,diagnostic_gas_sp,A005_Q0_M2,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,Bis(trifluoromethanesulfonyl)imide (TFSI−),Lithium; Tetraalkylammonium,0,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A005:S001:q0:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0006,diagnostic_gas_sp,A005_QM1_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,Bis(trifluoromethanesulfonyl)imide (TFSI−),Lithium; Tetraalkylammonium,-1,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A005:S001:q-1:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0007,diagnostic_gas_sp,A009_Q0_M2,GAS,S002,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,"4-Methylbenzenesulfonate (tosylate, pTS−)",Organic acid,0,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A009:S002:q0:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0008,diagnostic_gas_sp,A009_QM1_M1,GAS,S002,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,electrolyte_anion,"4-Methylbenzenesulfonate (tosylate, pTS−)",Organic acid,-1,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A009:S002:q-1:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0009,diagnostic_gas_sp,D001_QP2_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,Thiophene sigma-complex dication,Thiophenes,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D001:S001:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0010,diagnostic_gas_sp,D007_QP2_M1,GAS,S004,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,3-Octylthiophene sigma-complex dication,Thiophenes,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D007:S004:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0011,diagnostic_gas_sp,D022_QP2_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,"3,4-Ethylenedioxythiophene (EDOT) sigma-complex dication",Thiophenes,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D022:S001:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
