category,key,value,unit,source_id,notes
scope,production_targets,monomer Eox; solvent-target self Eox; anion Eox; deltaG_sigma,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT,One unified 25-medium property surrogate.
scope,excluded_capabilities,forces; ML geometry optimization; molecular dynamics,,SRC_HANDOFF_SPEC,Do not expose derivatives as validated physical forces.
environment,python_version,3.11,,SRC_MACE_RELEASE,Pin lock file after successful local and Lop smoke tests.
environment,mace_torch_version,0.3.16,,SRC_MACE_RELEASE;SRC_MACE_SOURCE_V0316,Exact initial implementation pin.
environment,mace_source_commit,4d2da09413ac1407f37cdbb6b81fa28e4c15655e,git SHA,SRC_MACE_RELEASE;SRC_MACE_SOURCE_V0316,Tag v0.3.16.
environment,graph_electrostatics_version,v0.4.0,,SRC_MACE_POLAR_DOCS,Record resolved commit and package checksum in the run manifest.
foundation,checkpoint,polar-1-l,,SRC_MACE_POLAR_DOCS;SRC_MACE_RELEASE,Large MACE-POLAR-1 checkpoint.
foundation,default_dtype,float64,,SRC_MACE_POLAR_DOCS;SRC_MACE_RELEASE,All feature extraction and training.
foundation,base_checkpoint_semantics,immutable original polar-1-l energy baseline,,SRC_HANDOFF_SPEC,LoRA must not redefine deltaE_base_MACE_rxn or any target.
input,charge,formal total charge,e,SRC_PROJECT_TIER1_CURRENT;SRC_MACE_POLAR_DOCS,Graph-level state condition.
input,spin,multiplicity = unpaired electrons + 1,,SRC_PROJECT_TIER1_CURRENT;SRC_MACE_RELEASE,Closed shell 1; radical doublet 2.
input,reference_geometry,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,,SRC_PROJECT_TIER1_CURRENT;SRC_HANDOFF_SPEC,Same protocol for training and full-space inference.
input,sigma_reference_geometry,deterministic sigma construction -> target-medium GFN2/ddCOSMO preopt -> connectivity QC,,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC,"Charge +2, multiplicity 1."
input,solvent_vector,ln(epsilon)|soln|soln25|sola|solb|solg|solc|solh,,SRC_ORCA61_SMD;SRC_MNSOL_DESCRIPTORS,Read only from solvent_smd_registry.csv; echo is audit only.
input,solvent_normalization,train-split mean and standard deviation,,SRC_HANDOFF_SPEC,Persist statistics; no test-anchor contribution.
feature,api,"raw PolarMACE model forward, not ASE energy-only interface",,SRC_MACE_SOURCE_V0316,Required for node_feats and polar outputs.
feature,node_feats,split by checkpoint e3nn irreps; retain 0e channels per interaction; molecular sum and mean pooling,,SRC_MACE_SOURCE_V0316;SRC_HANDOFF_SPEC,Rotation-invariant state features only.
feature,polar_invariants,density monopole summaries; l=1 norms; spin-density monopole summaries; l=1 norms; dipole norm,,SRC_MACE_POLAR_DOCS;SRC_MACE_SOURCE_V0316,Do not feed raw Cartesian/spherical vector components.
feature,global_scalars,immutable base MACE energy; electrostatic energy; electron energy; atom count; charge; multiplicity,,SRC_MACE_SOURCE_V0316;SRC_HANDOFF_SPEC,Standardize train-derived continuous scalars.
feature,frozen_cache_key,checkpoint_sha256|geometry_sha256|charge|multiplicity|feature_schema_revision,,SRC_HANDOFF_SPEC,Frozen-head stage only.
feature,lora_feature_mode,online forward pass through LoRA-wrapped model,,SRC_MACE_LORA;SRC_HANDOFF_SPEC,No frozen feature cache during LoRA training; gradients must reach adapters.
architecture,state_mlp,two-layer MLP; hidden 256; SiLU; LayerNorm,,SRC_HANDOFF_SPEC,Shared across state roles.
architecture,solvent_encoder,8->64->128; SiLU; LayerNorm,,SRC_HANDOFF_SPEC,Shared across all 25 media.
architecture,fusion,FiLM/gating at state-property representation,,SRC_HANDOFF_SPEC,Late fusion; do not modify PolarMACE electrostatic recursion in v1.
architecture,reaction_aggregation,concat product sum|reactant sum|signed difference|deltaE_base_MACE_rxn,,SRC_HANDOFF_SPEC,Exact stoichiometric coefficients from reaction registry.
architecture,redox_head,"one shared head + role embedding {monomer,solvent,anion}",,SRC_HANDOFF_SPEC,Predict final residual and auxiliary corrections.
architecture,sigma_head,separate sigma head,,SRC_HANDOFF_SPEC,Same state/solvent encoders.
target,sp_residual,deltaE_T2_SMD_SP_rxn - deltaE_base_MACE_rxn,eV,SRC_HANDOFF_SPEC,Reaction-level auxiliary target.
target,rt_correction,deltaG_T2_SMD_min_rxn - deltaE_T2_SMD_SP_rxn,eV,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC,Only complete clean Opt/Freq tuples.
target,final_residual,deltaG_T2_SMD_min_rxn - deltaE_base_MACE_rxn,eV,SRC_HANDOFF_SPEC,Primary target.
target,prediction_formula,deltaG_pred = deltaE_base_MACE_rxn + final_residual_pred,eV,SRC_HANDOFF_SPEC,Baseline remains from original checkpoint in every stage.
loss,redox_final_weight,1.0,,SRC_HANDOFF_SPEC,Huber after train-only target scaling.
loss,sigma_final_weight,1.0,,SRC_HANDOFF_SPEC,Huber after train-only target scaling.
loss,sp_weight,0.5,,SRC_HANDOFF_SPEC,Masked to SP-complete rows.
loss,rt_weight,0.25,,SRC_HANDOFF_SPEC,Masked to final-complete clean rows.
