array_task	sequence	job_id	job_class	input_path	input_sha256	output_path	nprocs	planning_core_h	workflow_revision	method_id
1	1	R5EOX_A01_RED	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_RED/R5EOX_A01_RED.inp	f1628a0e45c75c77333d8bba00a34d3536563066cab27c16c18f7cd9a46f0e92	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_RED/R5EOX_A01_RED.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
1	2	R5EOX_A01_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_OX/R5EOX_A01_OX.inp	df980f3387a49e519a4305057f1ed6e88300014fcf201a1e39d9ebdc9c004b7a	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_OX/R5EOX_A01_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
2	1	R5EOX_A02_RED	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_RED/R5EOX_A02_RED.inp	e824bdd7f65f257f280054f6e5ff0b385c68214af7c694e216905322ca3ec5e2	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_RED/R5EOX_A02_RED.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
2	2	R5EOX_A02_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_OX/R5EOX_A02_OX.inp	8356ade3876283634a407224c0535fefc2c75ff43e8a622e5d85b371f54741a6	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_OX/R5EOX_A02_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
3	1	R5EOX_A03_RED	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_RED/R5EOX_A03_RED.inp	9610f366f8a191eb86b893e6fade7a57c7f00523e641235ddc3bc2992b418923	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_RED/R5EOX_A03_RED.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
3	2	R5EOX_A03_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_OX/R5EOX_A03_OX.inp	339812701aead7b86c1f980156a49c155e6e17b38cf199b0282b1fd7d657b2c1	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_OX/R5EOX_A03_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
4	1	R5EOX_A04_RED	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_RED/R5EOX_A04_RED.inp	ba03d4a98c9a166b02c8dd565d1176f1d38baa6e2a46351ebd164df9661aae69	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_RED/R5EOX_A04_RED.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_ma-def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
4	2	R5EOX_A04_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_OX/R5EOX_A04_OX.inp	fe14507a9609561acc15e9390549c670f139aaf65a76f3b0969dd3cf02443b9c	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_OX/R5EOX_A04_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
5	1	R5EOX_A05_RED	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A05_RED/R5EOX_A05_RED.inp	886fdcdba737fcfe577721a11dc1d12251bd34a715b48a3e4aec09cc523fa300	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A05_RED/R5EOX_A05_RED.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_ma-def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
5	2	R5EOX_A05_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A05_OX/R5EOX_A05_OX.inp	17599746fc99a3ec4b82688f71c8a4851e8f7a065fd1691cc12e088027dca34a	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A05_OX/R5EOX_A05_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
